stripe index = 0
numRows = 16384, numCols = 16384, numValues = 16384, sparsity = 99.993896484375%, tolerance = 1e-05, totalCycles = 32354, cyclesPerValue = 1.9747314453125
numRows = 16384, numCols = 16384, numValues = 32768, sparsity = 99.98779296875%, tolerance = 1e-05, totalCycles = 64358, cyclesPerValue = 1.96405029296875
numRows = 16384, numCols = 16384, numValues = 49152, sparsity = 99.981689453125%, tolerance = 1e-05, totalCycles = 96725, cyclesPerValue = 1.9678751627604167
numRows = 16384, numCols = 16384, numValues = 65536, sparsity = 99.9755859375%, tolerance = 1e-05, totalCycles = 128499, cyclesPerValue = 1.9607391357421875
numRows = 16384, numCols = 16384, numValues = 81920, sparsity = 99.969482421875%, tolerance = 1e-05, totalCycles = 160662, cyclesPerValue = 1.9612060546875
numRows = 16384, numCols = 16384, numValues = 98304, sparsity = 99.96337890625%, tolerance = 1e-05, totalCycles = 193024, cyclesPerValue = 1.9635416666666667
numRows = 16384, numCols = 16384, numValues = 114688, sparsity = 99.957275390625%, tolerance = 1e-05, totalCycles = 225685, cyclesPerValue = 1.9678170340401786
numRows = 16384, numCols = 16384, numValues = 131072, sparsity = 99.951171875%, tolerance = 1e-05, totalCycles = 257158, cyclesPerValue = 1.9619598388671875
numRows = 16384, numCols = 16384, numValues = 147456, sparsity = 99.945068359375%, tolerance = 1e-05, totalCycles = 289167, cyclesPerValue = 1.9610392252604167
numRows = 16384, numCols = 16384, numValues = 163840, sparsity = 99.93896484375%, tolerance = 1e-05, totalCycles = 322108, cyclesPerValue = 1.9659912109375
numRows = 16384, numCols = 16384, numValues = 180224, sparsity = 99.932861328125%, tolerance = 1e-05, totalCycles = 353960, cyclesPerValue = 1.9640003551136365
numRows = 16384, numCols = 16384, numValues = 196608, sparsity = 99.9267578125%, tolerance = 1e-05, totalCycles = 386022, cyclesPerValue = 1.963409423828125
numRows = 16384, numCols = 16384, numValues = 212992, sparsity = 99.920654296875%, tolerance = 1e-05, totalCycles = 418238, cyclesPerValue = 1.9636324368990385
numRows = 16384, numCols = 16384, numValues = 229376, sparsity = 99.91455078125%, tolerance = 1e-05, totalCycles = 449394, cyclesPerValue = 1.9592023577008928
numRows = 16384, numCols = 16384, numValues = 245760, sparsity = 99.908447265625%, tolerance = 1e-05, totalCycles = 481460, cyclesPerValue = 1.9590657552083333
numRows = 16384, numCols = 16384, numValues = 262144, sparsity = 99.90234375%, tolerance = 1e-05, totalCycles = 515037, cyclesPerValue = 1.9647102355957031
numRows = 16384, numCols = 16384, numValues = 278528, sparsity = 99.896240234375%, tolerance = 1e-05, totalCycles = 545811, cyclesPerValue = 1.9596270392922794
numRows = 16384, numCols = 16384, numValues = 294912, sparsity = 99.89013671875%, tolerance = 1e-05, totalCycles = 577284, cyclesPerValue = 1.9574788411458333
numRows = 16384, numCols = 16384, numValues = 311296, sparsity = 99.884033203125%, tolerance = 1e-05, totalCycles = 609319, cyclesPerValue = 1.957362124794408
numRows = 16384, numCols = 16384, numValues = 327680, sparsity = 99.8779296875%, tolerance = 1e-05, totalCycles = 641745, cyclesPerValue = 1.9584503173828125
numRows = 16384, numCols = 16384, numValues = 344064, sparsity = 99.871826171875%, tolerance = 1e-05, totalCycles = 674121, cyclesPerValue = 1.95928955078125
numRows = 16384, numCols = 16384, numValues = 360448, sparsity = 99.86572265625%, tolerance = 1e-05, totalCycles = 706107, cyclesPerValue = 1.9589705033735796
numRows = 16384, numCols = 16384, numValues = 376832, sparsity = 99.859619140625%, tolerance = 1e-05, totalCycles = 737321, cyclesPerValue = 1.9566305409307065
numRows = 16384, numCols = 16384, numValues = 393216, sparsity = 99.853515625%, tolerance = 1e-05, totalCycles = 768532, cyclesPerValue = 1.9544779459635417
