Copyright 1986-2022 Xilinx, Inc. All Rights Reserved. Copyright 2022-2024 Advanced Micro Devices, Inc. All Rights Reserved.
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2024.1 (lin64) Build 5076996 Wed May 22 18:36:09 MDT 2024
| Date         : Tue Dec 31 18:17:49 2024
| Host         : lap-inf133 running 64-bit Ubuntu 24.04.1 LTS
| Command      : report_utilization -hierarchical -hierarchical_depth 8 -file /janberq/repos/jnbrq/hbmex-sw/results/synth/SpmvExp3_impl3_utilization_hier.post_pr.txt
| Design       : bd_top_wrapper
| Device       : xcu55c-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Routed
----------------------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+---------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------+------------+
|                                              Instance                                             |                                        Module                                        | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
+---------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------+------------+
| bd_top_wrapper                                                                                    |                                                                                (top) |     126105 |      77684 |   48298 |  123 | 60534 |     56 |      0 |    0 |         16 |
|   (bd_top_wrapper)                                                                                |                                                                                (top) |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|   bd_top_i                                                                                        |                                                                               bd_top |     126105 |      77684 |   48298 |  123 | 60534 |     56 |      0 |    0 |         16 |
|     (bd_top_i)                                                                                    |                                                                               bd_top |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|     SpmvExp3_0                                                                                    |                                                                  bd_top_SpmvExp3_0_0 |      90736 |      46739 |   43992 |    5 | 14100 |      4 |      0 |    0 |         16 |
|       (SpmvExp3_0)                                                                                |                                                                  bd_top_SpmvExp3_0_0 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|       inst                                                                                        |                                                         bd_top_SpmvExp3_0_0_SpmvExp3 |      90736 |      46739 |   43992 |    5 | 14100 |      4 |      0 |    0 |         16 |
|         (inst)                                                                                    |                                                         bd_top_SpmvExp3_0_0_SpmvExp3 |        154 |          0 |     154 |    0 |     0 |      0 |      0 |    0 |          0 |
|         ankara                                                                                    |                                                           bd_top_SpmvExp3_0_0_Ankara |       5496 |       1870 |    3626 |    0 |   828 |      4 |      0 |    0 |          0 |
|           demux_                                                                                  |                                                            bd_top_SpmvExp3_0_0_Demux |        602 |        602 |       0 |    0 |    20 |      0 |      0 |    0 |          0 |
|             (demux_)                                                                              |                                                            bd_top_SpmvExp3_0_0_Demux |          0 |          0 |       0 |    0 |     2 |      0 |      0 |    0 |          0 |
|             read_arbiter                                                                          |                                            bd_top_SpmvExp3_0_0_elasticBasicArbiter_6 |        577 |        577 |       0 |    0 |     9 |      0 |      0 |    0 |          0 |
|               (read_arbiter)                                                                      |                                            bd_top_SpmvExp3_0_0_elasticBasicArbiter_6 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|               select_sinkBuffer                                                                   |                                                bd_top_SpmvExp3_0_0_Queue2_UInt3_1118 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|               sink_sinkBuffer                                                                     |                                    bd_top_SpmvExp3_0_0_Queue2_ReadDataChannel_6_1119 |        574 |        574 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|             write_arbiter                                                                         |                                            bd_top_SpmvExp3_0_0_elasticBasicArbiter_7 |         25 |         25 |       0 |    0 |     9 |      0 |      0 |    0 |          0 |
|               (write_arbiter)                                                                     |                                            bd_top_SpmvExp3_0_0_elasticBasicArbiter_7 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|               select_sinkBuffer                                                                   |                                                bd_top_SpmvExp3_0_0_Queue2_UInt3_1116 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|               sink_sinkBuffer                                                                     |                               bd_top_SpmvExp3_0_0_Queue2_WriteResponseChannel_3_1117 |         24 |         24 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|           idParallelize_                                                                          |                                         bd_top_SpmvExp3_0_0_IdParallelizeNoReadBurst |        720 |        488 |     232 |    0 |   308 |      4 |      0 |    0 |          0 |
|             read_bufferPayload                                                                    |                                       bd_top_SpmvExp3_0_0_SyncWriteElasticReadMemory |        186 |         34 |     152 |    0 |     9 |      4 |      0 |    0 |          0 |
|               (read_bufferPayload)                                                                |                                       bd_top_SpmvExp3_0_0_SyncWriteElasticReadMemory |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|               rdCounter                                                                           |                                                     bd_top_SpmvExp3_0_0_Counter_1115 |         30 |         30 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|               rdQueue                                                                             |                                           bd_top_SpmvExp3_0_0_Queue4_ReadDataChannel |        156 |          4 |     152 |    0 |     5 |      0 |      0 |    0 |          0 |
|                 (rdQueue)                                                                         |                                           bd_top_SpmvExp3_0_0_Queue4_ReadDataChannel |          2 |          2 |       0 |    0 |     5 |      0 |      0 |    0 |          0 |
|                 ram_ext                                                                           |                                                        bd_top_SpmvExp3_0_0_ram_4x259 |        154 |          2 |     152 |    0 |     0 |      0 |      0 |    0 |          0 |
|               sram_mem_ext                                                                        |                                                 bd_top_SpmvExp3_0_0_sram_mem_256x259 |          0 |          0 |       0 |    0 |     0 |      4 |      0 |    0 |          0 |
|             read_bufferValid_ext                                                                  |                                                        bd_top_SpmvExp3_0_0_mem_256x1 |         68 |         68 |       0 |    0 |   256 |      0 |      0 |    0 |          0 |
|             read_idFreelist                                                                       |                                                       bd_top_SpmvExp3_0_0_IdFreeList |         80 |         40 |      40 |    0 |    26 |      0 |      0 |    0 |          0 |
|               (read_idFreelist)                                                                   |                                                       bd_top_SpmvExp3_0_0_IdFreeList |          7 |          7 |       0 |    0 |     9 |      0 |      0 |    0 |          0 |
|               qIndex                                                                              |                                              bd_top_SpmvExp3_0_0_Queue256_UInt8_1113 |         73 |         33 |      40 |    0 |    17 |      0 |      0 |    0 |          0 |
|                 (qIndex)                                                                          |                                              bd_top_SpmvExp3_0_0_Queue256_UInt8_1113 |         13 |         13 |       0 |    0 |    17 |      0 |      0 |    0 |          0 |
|                 ram_ext                                                                           |                                                   bd_top_SpmvExp3_0_0_ram_256x8_1114 |         60 |         20 |      40 |    0 |     0 |      0 |      0 |    0 |          0 |
|             read_idList                                                                           |                                                           bd_top_SpmvExp3_0_0_IdList |        386 |        346 |      40 |    0 |    17 |      0 |      0 |    0 |          0 |
|               qIndex                                                                              |                                                   bd_top_SpmvExp3_0_0_Queue256_UInt8 |        386 |        346 |      40 |    0 |    17 |      0 |      0 |    0 |          0 |
|                 (qIndex)                                                                          |                                                   bd_top_SpmvExp3_0_0_Queue256_UInt8 |         14 |         14 |       0 |    0 |    17 |      0 |      0 |    0 |          0 |
|                 ram_ext                                                                           |                                                        bd_top_SpmvExp3_0_0_ram_256x8 |        372 |        332 |      40 |    0 |     0 |      0 |      0 |    0 |          0 |
|           idSerialize0                                                                            |                                                      bd_top_SpmvExp3_0_0_IdSerialize |         55 |         37 |      18 |    0 |    41 |      0 |      0 |    0 |          0 |
|             (idSerialize0)                                                                        |                                                      bd_top_SpmvExp3_0_0_IdSerialize |          4 |          4 |       0 |    0 |    19 |      0 |      0 |    0 |          0 |
|             read_idQueue                                                                          |                                               bd_top_SpmvExp3_0_0_Queue64_UInt8_1108 |         29 |         19 |      10 |    0 |    13 |      0 |      0 |    0 |          0 |
|               (read_idQueue)                                                                      |                                               bd_top_SpmvExp3_0_0_Queue64_UInt8_1108 |         10 |         10 |       0 |    0 |    13 |      0 |      0 |    0 |          0 |
|               ram_ext                                                                             |                                                    bd_top_SpmvExp3_0_0_ram_64x8_1112 |         19 |          9 |      10 |    0 |     0 |      0 |      0 |    0 |          0 |
|             read_sinkBuffered__sinkBuffer                                                         |                                                bd_top_SpmvExp3_0_0_Queue2_UInt8_1109 |         17 |          9 |       8 |    0 |     3 |      0 |      0 |    0 |          0 |
|               (read_sinkBuffered__sinkBuffer)                                                     |                                                bd_top_SpmvExp3_0_0_Queue2_UInt8_1109 |          7 |          7 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|               ram_ext                                                                             |                                                     bd_top_SpmvExp3_0_0_ram_2x8_1111 |         10 |          2 |       8 |    0 |     0 |      0 |      0 |    0 |          0 |
|             write_idQueue                                                                         |                                               bd_top_SpmvExp3_0_0_Queue64_UInt8_1110 |          5 |          5 |       0 |    0 |     6 |      0 |      0 |    0 |          0 |
|           idSerialize1                                                                            |                                                  bd_top_SpmvExp3_0_0_IdSerialize_986 |         55 |         37 |      18 |    0 |    41 |      0 |      0 |    0 |          0 |
|             (idSerialize1)                                                                        |                                                  bd_top_SpmvExp3_0_0_IdSerialize_986 |          4 |          4 |       0 |    0 |    19 |      0 |      0 |    0 |          0 |
|             read_idQueue                                                                          |                                               bd_top_SpmvExp3_0_0_Queue64_UInt8_1103 |         29 |         19 |      10 |    0 |    13 |      0 |      0 |    0 |          0 |
|               (read_idQueue)                                                                      |                                               bd_top_SpmvExp3_0_0_Queue64_UInt8_1103 |         10 |         10 |       0 |    0 |    13 |      0 |      0 |    0 |          0 |
|               ram_ext                                                                             |                                                    bd_top_SpmvExp3_0_0_ram_64x8_1107 |         19 |          9 |      10 |    0 |     0 |      0 |      0 |    0 |          0 |
|             read_sinkBuffered__sinkBuffer                                                         |                                                bd_top_SpmvExp3_0_0_Queue2_UInt8_1104 |         17 |          9 |       8 |    0 |     3 |      0 |      0 |    0 |          0 |
|               (read_sinkBuffered__sinkBuffer)                                                     |                                                bd_top_SpmvExp3_0_0_Queue2_UInt8_1104 |          7 |          7 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|               ram_ext                                                                             |                                                     bd_top_SpmvExp3_0_0_ram_2x8_1106 |         10 |          2 |       8 |    0 |     0 |      0 |      0 |    0 |          0 |
|             write_idQueue                                                                         |                                               bd_top_SpmvExp3_0_0_Queue64_UInt8_1105 |          5 |          5 |       0 |    0 |     6 |      0 |      0 |    0 |          0 |
|           idSerialize2                                                                            |                                                  bd_top_SpmvExp3_0_0_IdSerialize_987 |         54 |         36 |      18 |    0 |    41 |      0 |      0 |    0 |          0 |
|             (idSerialize2)                                                                        |                                                  bd_top_SpmvExp3_0_0_IdSerialize_987 |          4 |          4 |       0 |    0 |    19 |      0 |      0 |    0 |          0 |
|             read_idQueue                                                                          |                                               bd_top_SpmvExp3_0_0_Queue64_UInt8_1098 |         28 |         18 |      10 |    0 |    13 |      0 |      0 |    0 |          0 |
|               (read_idQueue)                                                                      |                                               bd_top_SpmvExp3_0_0_Queue64_UInt8_1098 |         10 |         10 |       0 |    0 |    13 |      0 |      0 |    0 |          0 |
|               ram_ext                                                                             |                                                    bd_top_SpmvExp3_0_0_ram_64x8_1102 |         19 |          9 |      10 |    0 |     0 |      0 |      0 |    0 |          0 |
|             read_sinkBuffered__sinkBuffer                                                         |                                                bd_top_SpmvExp3_0_0_Queue2_UInt8_1099 |         17 |          9 |       8 |    0 |     3 |      0 |      0 |    0 |          0 |
|               (read_sinkBuffered__sinkBuffer)                                                     |                                                bd_top_SpmvExp3_0_0_Queue2_UInt8_1099 |          7 |          7 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
